t;AMPAR;AMPAR_bulk;AMPAR_P831;AMPAR_P845;AMPAR_P845_P831;Anchor;J__01_AMPAR_Transport;J__02_AMPAR_Phospho845;J__03_AMPAR_P845_Dephospho;J__04_AMPAR_P831_Phospho845;J__05_AMPAR_P831_P45_Dephospho;J__06_AMPAR_P845_int;J__07_AMPAR_P845_P831_int;J__08_mAMPAR_P845_Phospho831;J__09_mAMPAR_P845_P831_Dephospho831;J__10_mAMPAR_Phospho845;J__11_mAMPAR_P845_Dephospho845;J__12_mAMPAR_sep;J__13_mAMPAR_P845_P831_Dephospho845;J__14_mAMPAR_Phospho831;J__15_mAMPAR_P831_Dephospho831;J__16_mAMPAR_P831_Phospho845;J__17_mAMPAR_P831_sep;mAMPAR;mAMPAR_P831;mAMPAR_p845;mAMPAR_p845_p831;PKA;PP1
0.0;0.0;1.9998E-4;0.0;0.0;0.0;733.4143;3.5996399999999996E-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018519;0.24999999999999997
2.0;3.0797367390898637E-6;1.9998E-4;3.1791279975531023E-14;3.07952602392222E-8;4.6507028802891674E-14;733.4142986988867;5.199032609101359E-7;9.125375653058256E-8;4.9669769645218106E-8;9.419883421869664E-16;7.501133677884627E-14;1.209247773147184E-6;-5.646093450292421E-12;1.4326766137617793E-9;3.0525577624471178E-12;3.0675340986305798E-12;4.23118715730707E-9;1.1111533122174967E-12;3.0525577624471178E-12;3.0675340986305798E-12;9.616702928009153E-15;3.2562078645161136E-15;1.179496637198324E-15;2.7778832805437414E-9;2.9487415929958097E-12;1.2973966498942435E-6;9.359968907063344E-10;0.018519;0.24999999999999997
4.0;3.4934239959680966E-6;1.9998E-4;6.662911864130669E-13;3.808239476358031E-8;4.351370504171481E-13;733.4142959279045;1.0621600403190304E-7;1.0351145394096053E-7;6.142320981499106E-8;1.9742474369890232E-14;7.018339522847375E-13;1.4758654451709133E-6;-3.611988384456596E-11;4.467309299257036E-9;2.1750040979772358E-11;2.1969391319969788E-11;1.3193500985033603E-8;7.957975739417939E-12;2.1750040979772358E-11;2.1969391319969788E-11;1.5021245973606737E-13;5.086181786034718E-14;1.8423683506769564E-14;1.9894939348544844E-8;4.6059208766923906E-11;4.0454853673993E-6;6.669151681451651E-9;0.018519;0.24999999999999997
6.0;3.548559904299339E-6;1.9998E-4;3.2799156888227922E-12;3.9275529403488286E-8;1.3371299073243474E-12;733.4142929401156;5.108009570066071E-8;1.05145149891321E-7;6.334762004429944E-8;9.718521382600986E-14;2.156661140836419E-12;1.499599081329399E-6;-9.55386840215832E-11;7.71382308973301E-9;6.053561510743467E-11;6.147490162640611E-11;2.2781571083797298E-8;2.2268062358891644E-11;6.053561510743467E-11;6.147490162640611E-11;6.647844467824663E-13;2.250954781527267E-13;8.153636701865602E-14;5.567015589722911E-8;2.0384091754664006E-10;6.9854485681546725E-6;1.8561859255156138E-8;0.018519;0.24999999999999997
8.0;3.5561531729783784E-6;1.9998E-4;9.423940265152963E-12;3.964415004064182E-8;2.778620503239265E-12;733.4142899474397;4.348682702162121E-8;1.0537014105332217E-7;6.394216930770307E-8;2.7923511963188665E-13;4.481645972926386E-12;1.490841199369473E-6;-1.8270922736290025E-10;1.0937859095742597E-8;1.193447838219052E-10;1.21859174883373E-10;3.230325504097446E-8;4.414106627240395E-11;1.193447838219052E-10;1.21859174883373E-10;1.8159693762219978E-12;6.148857679113267E-13;2.2273015903555875E-13;1.1035266568100987E-7;5.568253975888968E-10;9.905056609048677E-6;3.659434330842473E-8;0.018519;0.24999999999999997
10.0;3.5582584955338177E-6;1.9998E-4;2.0657589313728866E-11;3.9913817057356664E-8;4.759654110721271E-12;733.4142869784722;4.1381504466181914E-8;1.0543252248442022E-7;6.437711599723191E-8;6.1209263439814E-13;7.676861468787406E-12;1.4785518466697724E-6;-2.9581137235723653E-10;1.4108403345430772E-8;1.9743627659868576E-10;2.0271928107787163E-10;4.166695801547641E-8;7.343103410825071E-11;1.9743627659868576E-10;2.0271928107787163E-10;3.871222845932672E-12;1.3107929371421256E-12;4.748087117805663E-13;1.8357758527062677E-7;1.1870217794514156E-9;1.2776223990823757E-5;6.053931024433643E-8;0.018519;0.24999999999999997
12.0;3.5587673600012586E-6;1.9998E-4;3.8301644174576616E-11;4.015163042883257E-8;7.27661288118921E-12;733.4142840354648;4.087263999874106E-8;1.0544760031352044E-7;6.476068585215857E-8;1.1348930375387835E-12;1.1736472388739361E-11;1.4654020791368744E-6;-4.332021129843153E-10;1.7223578103297935E-8;2.940818924672713E-10;3.0361455094819336E-10;5.086713448699142E-8;1.0997834220869295E-10;2.940818924672713E-10;3.0361455094819336E-10;7.062669903243407E-12;2.391414339918977E-12;8.66242355987329E-13;2.749458555217324E-7;2.1656058899683223E-9;1.5597250273667703E-5;9.017347395164863E-8;0.018519;0.24999999999999997
14.0;3.5590660359804577E-6;1.9998E-4;6.360683766851237E-11;4.0381581719524796E-8;1.0325339944838428E-11;733.414281118949;4.057396401954198E-8;1.0545645018545667E-7;6.513157493434315E-8;1.8846960428211208E-12;1.6653774104023413E-11;1.4523419145854965E-6;-5.932910290041014E-10;2.0283404501480215E-8;4.0856616504098855E-10;4.241030933082521E-10;5.990384694158651E-8;1.536229243049559E-10;4.0856616504098855E-10;4.241030933082521E-10;1.1615414632168038E-11;3.932970037828761E-12;1.4246402953990207E-12;3.840573107623897E-7;3.561600738497552E-9;1.8368154585894684E-5;1.252774530929417E-7;0.018519;0.24999999999999997
16.0;3.5595272913437602E-6;1.9998E-4;9.790137798664974E-11;4.0610465842489526E-8;1.3900890119390366E-11;733.4142782287569;4.0112708656239394E-8;1.054701173404292E-7;6.550074277815833E-8;2.9008569902198935E-12;2.2420790514140364E-11;1.439634268108199E-6;-7.743619822677584E-10;2.328873741543728E-8;5.401096501554733E-10;5.636970730570411E-10;6.877962019219806E-8;2.041880718635039E-10;5.401096501554733E-10;5.636970730570411E-10;1.7772912892560084E-11;6.0178939890275516E-12;2.1798625944025943E-12;5.104701796587597E-7;5.449656486006485E-9;2.108971107369562E-5;1.6561224901560692E-7;0.018519;0.24999999999999997
18.0;3.5599212740944335E-6;1.9998E-4;1.4228839955553072E-10;4.0834350098670325E-8;1.799824506330067E-11;733.4142753643363;3.9718725905566175E-8;1.054817911847617E-7;6.58618463222886E-8;4.216062194030225E-12;2.902942751976727E-11;1.4271146368089766E-6;-9.749385796584392E-10;2.6240784762903326E-8;6.880294572420094E-10;7.219579558416611E-10;7.749802170297745E-8;2.615149345735089E-10;6.880294572420094E-10;7.219579558416611E-10;2.574606058892564E-11;8.717595377089063E-12;3.157775811731425E-12;6.537873364337722E-7;7.894439529328563E-9;2.3763013590109794E-5;2.109684690185851E-7;0.018519;0.24999999999999997
